Id,_labkeyurl_Id,avgKinship,birth,death,gender,geographic_origin,lsid,species
m00035,/study/mGAP/participant.view?participantId=m00035,0.0019047004132231404,2001-04-01 00:00:00.000,2007-10-21 08:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00035,RHESUS MACAQUE
m00036,/study/mGAP/participant.view?participantId=m00036,0.0024387159951790634,2001-06-01 00:00:00.000,2008-10-26 09:25:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00036,RHESUS MACAQUE
m00037,/study/mGAP/participant.view?participantId=m00037,0.0014554278581267218,2004-02-01 00:00:00.000,,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00037,RHESUS MACAQUE
m00038,/study/mGAP/participant.view?participantId=m00038,0.005614561811294765,2002-02-25 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00038,RHESUS MACAQUE
m00039,/study/mGAP/participant.view?participantId=m00039,0.005369748622589532,2002-04-15 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00039,RHESUS MACAQUE
m00040,/study/mGAP/participant.view?participantId=m00040,0.00098345627797865,2000-06-01 00:00:00.000,2012-12-13 09:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00040,RHESUS MACAQUE
m00041,/study/mGAP/participant.view?participantId=m00041,0.001646435950413223,1999-04-01 00:00:00.000,2012-08-07 09:15:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00041,RHESUS MACAQUE
m00042,/study/mGAP/participant.view?participantId=m00042,0.002435521317579201,2006-05-01 00:00:00.000,2014-09-16 14:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00042,RHESUS MACAQUE
m00043,/study/mGAP/participant.view?participantId=m00043,0.00296086713302234,2007-04-01 00:00:00.000,,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00043,RHESUS MACAQUE
m00044,/study/mGAP/participant.view?participantId=m00044,0.0011164557506887051,2009-04-04 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00044,RHESUS MACAQUE
m00045,/study/mGAP/participant.view?participantId=m00045,0.005052298553719008,2003-04-15 00:00:00.000,2010-11-10 09:15:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00045,RHESUS MACAQUE
m00046,/study/mGAP/participant.view?participantId=m00046,0.0034526057808195593,2006-04-15 00:00:00.000,2012-01-25 11:15:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00046,RHESUS MACAQUE
m00047,/study/mGAP/participant.view?participantId=m00047,0.0024305611602530993,2008-04-01 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00047,RHESUS MACAQUE
m00048,/study/mGAP/participant.view?participantId=m00048,0.0037714850475637053,1998-05-03 00:00:00.000,2019-01-18 10:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00048,RHESUS MACAQUE
m00049,/study/mGAP/participant.view?participantId=m00049,0.007295971074380165,1995-05-17 07:30:00.000,2010-10-06 12:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00049,RHESUS MACAQUE
m00050,/study/mGAP/participant.view?participantId=m00050,0.005504933927341598,2002-02-25 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00050,RHESUS MACAQUE
m00051,/study/mGAP/participant.view?participantId=m00051,0.0034721101282713497,2006-06-01 00:00:00.000,,m,,urn:lsid:labkey.com:Study.Data-5:1000.m00051,RHESUS MACAQUE
m00052,/study/mGAP/participant.view?participantId=m00052,0.0052211961141959366,2004-06-15 00:00:00.000,,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00052,RHESUS MACAQUE
m00053,/study/mGAP/participant.view?participantId=m00053,0.0029471216122966166,2006-02-01 00:00:00.000,2018-07-30 08:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00053,RHESUS MACAQUE
m00054,/study/mGAP/participant.view?participantId=m00054,0.003814812862511837,2006-04-01 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00054,RHESUS MACAQUE
m00055,/study/mGAP/participant.view?participantId=m00055,0.0009247750946969697,2007-01-01 00:00:00.000,2015-01-22 09:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00055,RHESUS MACAQUE
m00056,/study/mGAP/participant.view?participantId=m00056,0.0016621571270230716,2009-06-27 00:00:00.000,2015-01-26 09:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00056,RHESUS MACAQUE
m00057,/study/mGAP/participant.view?participantId=m00057,0.0009200671487603305,1994-05-01 00:00:00.000,2016-05-10 13:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00057,RHESUS MACAQUE
m00058,/study/mGAP/participant.view?participantId=m00058,0.003017457063533058,2007-03-23 00:00:00.000,2017-08-09 11:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00058,RHESUS MACAQUE
m00059,/study/mGAP/participant.view?participantId=m00059,0.002696980457988981,1999-06-01 00:00:00.000,2019-03-08 13:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00059,RHESUS MACAQUE
m00060,/study/mGAP/participant.view?participantId=m00060,0.00849899838450198,1999-04-01 00:00:00.000,2010-11-30 11:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00060,RHESUS MACAQUE
m00061,/study/mGAP/participant.view?participantId=m00061,0.003038096362237431,2007-04-01 00:00:00.000,2015-08-17 12:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00061,RHESUS MACAQUE
m00062,/study/mGAP/participant.view?participantId=m00062,0.002642839079717631,2004-06-15 00:00:00.000,2009-11-11 17:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00062,RHESUS MACAQUE
m00063,/study/mGAP/participant.view?participantId=m00063,0.004339381026170799,2004-01-15 00:00:00.000,2010-04-02 09:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00063,RHESUS MACAQUE
m00064,/study/mGAP/participant.view?participantId=m00064,0.002782732330406336,2004-04-06 00:00:00.000,2010-04-01 09:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00064,RHESUS MACAQUE
m00065,/study/mGAP/participant.view?participantId=m00065,0.0022043275439049587,2006-05-01 00:00:00.000,2011-12-14 13:15:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00065,RHESUS MACAQUE
m00066,/study/mGAP/participant.view?participantId=m00066,0.002787103994490358,1982-06-01 00:00:00.000,2004-11-19 10:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00066,RHESUS MACAQUE
m00067,/study/mGAP/participant.view?participantId=m00067,0.007629562672176309,1988-05-01 00:00:00.000,,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00067,RHESUS MACAQUE
m00068,/study/mGAP/participant.view?participantId=m00068,0.0015421885761019284,1995-04-01 00:00:00.000,2010-12-30 10:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00068,RHESUS MACAQUE
m00069,/study/mGAP/participant.view?participantId=m00069,0.00146484375,1997-04-01 00:00:00.000,2016-09-01 13:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00069,RHESUS MACAQUE
m00070,/study/mGAP/participant.view?participantId=m00070,0.003771737258953168,1994-05-26 07:30:00.000,2013-08-28 10:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00070,RHESUS MACAQUE
m00071,/study/mGAP/participant.view?participantId=m00071,0.0010586152720385674,1991-09-24 07:30:00.000,2013-11-22 10:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00071,RHESUS MACAQUE
m00072,/study/mGAP/participant.view?participantId=m00072,0.005614561811294765,2000-04-15 00:00:00.000,2015-05-08 09:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00072,RHESUS MACAQUE
m00073,/study/mGAP/participant.view?participantId=m00073,0.0018635058862775482,2004-02-01 07:00:00.000,2016-04-13 14:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00073,RHESUS MACAQUE
m00074,/study/mGAP/participant.view?participantId=m00074,0.005186138731060606,2002-04-25 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00074,RHESUS MACAQUE
m00075,/study/mGAP/participant.view?participantId=m00075,0.002222560325601541,2009-02-23 00:00:00.000,,m,,urn:lsid:labkey.com:Study.Data-5:1000.m00075,RHESUS MACAQUE
m00076,/study/mGAP/participant.view?participantId=m00076,0.0025106803116391185,2007-06-01 00:00:00.000,2012-05-29 09:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00076,RHESUS MACAQUE
m00077,/study/mGAP/participant.view?participantId=m00077,0.0021930200666107095,1998-04-10 00:00:00.000,2012-12-06 10:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00077,RHESUS MACAQUE
m00078,/study/mGAP/participant.view?participantId=m00078,0.0035296143250688706,2000-03-28 00:00:00.000,2014-12-17 10:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00078,RHESUS MACAQUE
m00079,/study/mGAP/participant.view?participantId=m00079,0.0012106146694214877,1994-07-22 07:30:00.000,2015-06-01 14:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00079,RHESUS MACAQUE
m00080,/study/mGAP/participant.view?participantId=m00080,0.006682592975206612,2001-04-01 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00080,RHESUS MACAQUE
m00081,/study/mGAP/participant.view?participantId=m00081,0.007594589359504132,2000-05-01 00:00:00.000,,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00081,RHESUS MACAQUE
m00082,/study/mGAP/participant.view?participantId=m00082,0.004990422692837466,2002-03-25 00:00:00.000,,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00082,RHESUS MACAQUE
m00083,/study/mGAP/participant.view?participantId=m00083,0.002954572357093664,2007-02-01 00:00:00.000,,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00083,RHESUS MACAQUE
m00084,/study/mGAP/participant.view?participantId=m00084,0.0016128077651515152,2006-12-01 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00084,RHESUS MACAQUE
m00085,/study/mGAP/participant.view?participantId=m00085,0.002018826066955062,2006-11-01 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00085,RHESUS MACAQUE
m00086,/study/mGAP/participant.view?participantId=m00086,0.00471994699525439,1998-06-01 00:00:00.000,2013-12-06 13:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00086,RHESUS MACAQUE
m00087,/study/mGAP/participant.view?participantId=m00087,0.01203081955922865,1995-05-17 07:30:00.000,,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00087,RHESUS MACAQUE
m00088,/study/mGAP/participant.view?participantId=m00088,0.0017736240523577394,2009-06-30 00:00:00.000,,m,,urn:lsid:labkey.com:Study.Data-5:1000.m00088,RHESUS MACAQUE
m00089,/study/mGAP/participant.view?participantId=m00089,0.001612135201446281,2009-04-06 00:00:00.000,2015-01-14 11:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00089,RHESUS MACAQUE
m00090,/study/mGAP/participant.view?participantId=m00090,0.0042586733815426995,2004-03-15 00:00:00.000,2012-10-26 10:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00090,RHESUS MACAQUE
m00091,/study/mGAP/participant.view?participantId=m00091,0.0018798155561294766,2008-05-01 00:00:00.000,2017-06-07 11:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00091,RHESUS MACAQUE
m00092,/study/mGAP/participant.view?participantId=m00092,0.004179983428030303,1994-07-12 07:30:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00092,RHESUS MACAQUE
m00093,/study/mGAP/participant.view?participantId=m00093,0.0028679692712368717,2006-05-01 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00093,RHESUS MACAQUE
m00094,/study/mGAP/participant.view?participantId=m00094,0.0007361209753787879,2001-04-01 00:00:00.000,2016-03-31 13:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00094,RHESUS MACAQUE
m00095,/study/mGAP/participant.view?participantId=m00095,0.0013587468254993114,1994-05-01 00:00:00.000,2011-10-03 14:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00095,RHESUS MACAQUE
m00096,/study/mGAP/participant.view?participantId=m00096,0.003758622266701102,2001-04-01 10:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00096,RHESUS MACAQUE
m00097,/study/mGAP/participant.view?participantId=m00097,0.0006416257747933885,1994-06-01 00:00:00.000,2011-07-29 14:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00097,RHESUS MACAQUE
m00098,/study/mGAP/participant.view?participantId=m00098,0.002580290655130854,1999-04-01 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00098,RHESUS MACAQUE
m00099,/study/mGAP/participant.view?participantId=m00099,0.006771371384297521,1999-07-01 00:00:00.000,2012-08-02 10:10:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00099,RHESUS MACAQUE
m00100,/study/mGAP/participant.view?participantId=m00100,0.0018885588842975207,1992-04-01 00:00:00.000,2011-03-15 14:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00100,RHESUS MACAQUE
m00101,/study/mGAP/participant.view?participantId=m00101,0.0041086916752754825,2001-04-01 00:00:00.000,2012-08-15 09:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00101,RHESUS MACAQUE
m00102,/study/mGAP/participant.view?participantId=m00102,0.0036281028726540977,1994-04-01 00:00:00.000,2015-01-30 10:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00102,RHESUS MACAQUE
m00103,/study/mGAP/participant.view?participantId=m00103,0.00552309314738292,2002-03-25 00:00:00.000,2012-07-15 08:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00103,RHESUS MACAQUE
m00104,/study/mGAP/participant.view?participantId=m00104,0.0005730242768595042,1990-05-15 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00104,RHESUS MACAQUE
m00105,/study/mGAP/participant.view?participantId=m00105,0.0016988959194214877,1992-06-01 00:00:00.000,2012-04-23 09:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00105,RHESUS MACAQUE
m00106,/study/mGAP/participant.view?participantId=m00106,0.0010922434573002755,1993-01-14 07:30:00.000,,f,Hybrid (China / India),urn:lsid:labkey.com:Study.Data-5:1000.m00106,RHESUS MACAQUE
m00107,/study/mGAP/participant.view?participantId=m00107,0.0036856491046831957,1993-03-10 07:30:00.000,2011-03-02 09:25:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00107,RHESUS MACAQUE
m00108,/study/mGAP/participant.view?participantId=m00108,0.0039849399535123965,2003-05-15 00:00:00.000,2010-06-23 10:45:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00108,RHESUS MACAQUE
m00109,/study/mGAP/participant.view?participantId=m00109,0.002750281131628788,2008-03-18 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00109,RHESUS MACAQUE
m00110,/study/mGAP/participant.view?participantId=m00110,0.005747372125462724,2004-01-15 00:00:00.000,,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00110,RHESUS MACAQUE
m00111,/study/mGAP/participant.view?participantId=m00111,0.00464674263946281,2004-02-15 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00111,RHESUS MACAQUE
m00112,/study/mGAP/participant.view?participantId=m00112,0.0069516184573002755,1989-05-01 00:00:00.000,2005-12-08 13:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00112,RHESUS MACAQUE
m00113,/study/mGAP/participant.view?participantId=m00113,0.0019230923244490006,2005-05-15 00:00:00.000,2019-08-14 11:15:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00113,RHESUS MACAQUE
m00114,/study/mGAP/participant.view?participantId=m00114,0.002192273941250215,2008-04-01 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00114,RHESUS MACAQUE
m00115,/study/mGAP/participant.view?participantId=m00115,0.0010330578512396695,1992-07-01 00:00:00.000,2003-02-18 23:40:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00115,RHESUS MACAQUE
m00116,/study/mGAP/participant.view?participantId=m00116,0.0013888440513085399,1993-07-15 07:30:00.000,2010-03-19 14:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00116,RHESUS MACAQUE
m00117,/study/mGAP/participant.view?participantId=m00117,0.0038843496443483126,1994-02-18 13:19:00.000,2005-12-02 14:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00117,RHESUS MACAQUE
m00118,/study/mGAP/participant.view?participantId=m00118,0.0007425103305785124,1994-06-01 00:00:00.000,2007-09-24 13:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00118,RHESUS MACAQUE
m00119,/study/mGAP/participant.view?participantId=m00119,0.002863776256887052,1991-07-23 07:30:00.000,2002-04-02 10:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00119,RHESUS MACAQUE
m00120,/study/mGAP/participant.view?participantId=m00120,0.0010330578512396695,1990-06-05 00:00:00.000,2008-06-09 13:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00120,RHESUS MACAQUE
m00121,/study/mGAP/participant.view?participantId=m00121,0.0013626140668044078,1990-04-01 00:00:00.000,2005-05-23 08:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00121,RHESUS MACAQUE
m00122,/study/mGAP/participant.view?participantId=m00122,0.005816330922865014,1999-03-15 00:00:00.000,2010-07-06 10:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00122,RHESUS MACAQUE
m00123,/study/mGAP/participant.view?participantId=m00123,0.003494641012396694,1991-03-29 07:30:00.000,2006-10-17 13:00:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00123,RHESUS MACAQUE
m00124,/study/mGAP/participant.view?participantId=m00124,0.0,1990-02-15 00:00:00.000,2013-11-12 10:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00124,RHESUS MACAQUE
m00125,/study/mGAP/participant.view?participantId=m00125,0.002684874311294766,1992-06-01 00:00:00.000,2003-07-08 10:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00125,RHESUS MACAQUE
m00126,/study/mGAP/participant.view?participantId=m00126,0.004484654786501377,2003-07-01 00:00:00.000,2010-06-16 09:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00126,RHESUS MACAQUE
m00127,/study/mGAP/participant.view?participantId=m00127,0.00462839426087939,2005-06-01 00:00:00.000,2011-06-24 11:45:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00127,RHESUS MACAQUE
m00128,/study/mGAP/participant.view?participantId=m00128,0.0029095105888429754,2006-04-15 00:00:00.000,2012-07-18 09:30:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00128,RHESUS MACAQUE
m00129,/study/mGAP/participant.view?participantId=m00129,0.001670311961949036,2007-05-15 00:00:00.000,2012-04-15 14:40:00.000,m,India,urn:lsid:labkey.com:Study.Data-5:1000.m00129,RHESUS MACAQUE
m00130,/study/mGAP/participant.view?participantId=m00130,0.005913180096418733,1999-03-15 00:00:00.000,2008-08-26 14:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00130,RHESUS MACAQUE
m00131,/study/mGAP/participant.view?participantId=m00131,0.0025875399042298484,1990-02-01 00:00:00.000,,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00131,RHESUS MACAQUE
m00132,/study/mGAP/participant.view?participantId=m00132,0.0025150519757231407,1995-02-09 07:30:00.000,2006-09-05 10:00:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00132,RHESUS MACAQUE
m00133,/study/mGAP/participant.view?participantId=m00133,0.000803713627754821,1998-04-10 00:00:00.000,2007-12-17 11:30:00.000,f,India,urn:lsid:labkey.com:Study.Data-5:1000.m00133,RHESUS MACAQUE
