mgapId,mgapId/gender,mgapId/geographic_origin,mgapId/species,rowid,sequenceType,sraAccession,totalReads
m00031,m,INDIA,RHESUS MACAQUE,864602,GBS,SRR5794857,8987972
m00032,m,India,RHESUS MACAQUE,864603,Whole Genome: Deep Coverage,SRR1929355,619474427
m00032,m,India,RHESUS MACAQUE,864604,Whole Exome,SRR1975664,65344289
m00032,m,India,RHESUS MACAQUE,864605,GBS,SRR5428108,7214996
m00033,m,INDIA,RHESUS MACAQUE,864606,Whole Genome: Deep Coverage,SRR8474135,547924953
m00034,m,INDIA,RHESUS MACAQUE,864607,Whole Genome: Deep Coverage,SRR8474134,530486532
m00035,m,India,RHESUS MACAQUE,864608,Whole Genome: Deep Coverage,SRR5626565,530391889
m00036,m,India,RHESUS MACAQUE,864609,Whole Genome: Deep Coverage,SRR5626564,735313000
m00036,m,India,RHESUS MACAQUE,864610,GBS,SRR7808872,6185215
m00037,m,India,RHESUS MACAQUE,864611,GBS,SRR7808873,6150538
m00037,m,India,RHESUS MACAQUE,864612,Whole Genome: Deep Coverage,SRR5626559,567542724
m00038,f,India,RHESUS MACAQUE,864613,GBS,SRR5428107,8040114
m00038,f,India,RHESUS MACAQUE,864614,Whole Genome: Deep Coverage,SRR5435050,280812163
m00039,f,India,RHESUS MACAQUE,864615,GBS,SRR5428106,4518014
m00039,f,India,RHESUS MACAQUE,864616,Whole Genome: Deep Coverage,SRR5435049,340366331
m00040,f,India,RHESUS MACAQUE,864617,Whole Genome: Deep Coverage,SRR5435046,349748281
m00040,f,India,RHESUS MACAQUE,864618,GBS,SRR5428105,5231439
m00041,f,India,RHESUS MACAQUE,864619,GBS,SRR5428104,7768498
m00041,f,India,RHESUS MACAQUE,864620,Whole Genome: Deep Coverage,SRR5435045,359476212
m00042,m,India,RHESUS MACAQUE,864621,Whole Genome: Deep Coverage,SRR5435044,397642947
m00042,m,India,RHESUS MACAQUE,864622,GBS,SRR5428103,6414845
m00043,m,India,RHESUS MACAQUE,864623,GBS,SRR5428102,5430968
m00043,m,India,RHESUS MACAQUE,864624,Whole Genome: Deep Coverage,SRR5435042,354303001
m00044,f,India,RHESUS MACAQUE,864625,Whole Genome: Deep Coverage,SRR5435040,327914428
m00044,f,India,RHESUS MACAQUE,864626,GBS,SRR5428101,7731019
m00045,m,India,RHESUS MACAQUE,864627,GBS,SRR5428100,3836289
m00045,m,India,RHESUS MACAQUE,864628,Whole Genome: Deep Coverage,SRR5435039,355152454
m00046,m,India,RHESUS MACAQUE,864629,Whole Genome: Deep Coverage,SRR5435038,389052178
m00046,m,India,RHESUS MACAQUE,864630,GBS,SRR5428099,5521827
m00047,f,India,RHESUS MACAQUE,864631,GBS,SRR5428098,4824537
m00047,f,India,RHESUS MACAQUE,864632,Whole Genome: Deep Coverage,SRR5435037,353654882
m00047,f,India,RHESUS MACAQUE,864633,Whole Genome: Deep Coverage,SRR7865755,306320624
m00048,f,India,RHESUS MACAQUE,864634,Whole Genome: Deep Coverage,SRR5435036,305050913
m00048,f,India,RHESUS MACAQUE,864635,GBS,SRR5428097,5261814
m00049,f,India,RHESUS MACAQUE,864636,GBS,SRR5428096,7133399
m00049,f,India,RHESUS MACAQUE,864637,Whole Genome: Deep Coverage,SRR5435034,313470770
m00050,f,India,RHESUS MACAQUE,864638,Whole Genome: Deep Coverage,SRR5435032,322402597
m00050,f,India,RHESUS MACAQUE,864639,GBS,SRR5428095,6052809
m00050,f,India,RHESUS MACAQUE,864640,GBS,SRR6166553,7759272
m00050,f,India,RHESUS MACAQUE,864641,Whole Genome: Deep Coverage,SRR7865754,296199823
m00051,m,,RHESUS MACAQUE,864642,GBS,SRR5428094,6132931
m00051,m,,RHESUS MACAQUE,864643,Whole Genome: Deep Coverage,SRR5435028,337320675
m00052,m,India,RHESUS MACAQUE,864644,Whole Genome: Deep Coverage,SRR5435025,347182301
m00052,m,India,RHESUS MACAQUE,864645,GBS,SRR5428093,7543231
m00053,f,India,RHESUS MACAQUE,864646,GBS,SRR5428092,5396144
m00053,f,India,RHESUS MACAQUE,864647,Whole Genome: Deep Coverage,SRR5435023,324584357
m00054,f,India,RHESUS MACAQUE,864648,Whole Genome: Deep Coverage,SRR5435020,353465169
m00054,f,India,RHESUS MACAQUE,864649,GBS,SRR5428091,6851338
m00055,m,India,RHESUS MACAQUE,864650,GBS,SRR5428090,4826206
m00055,m,India,RHESUS MACAQUE,864651,Whole Genome: Deep Coverage,SRR5435018,325437954
m00056,m,India,RHESUS MACAQUE,864652,Whole Genome: Deep Coverage,SRR5435015,313861151
m00056,m,India,RHESUS MACAQUE,864653,GBS,SRR5428089,4192932
m00057,f,India,RHESUS MACAQUE,864654,GBS,SRR5428088,5456874
m00057,f,India,RHESUS MACAQUE,864655,Whole Genome: Deep Coverage,SRR5435013,514994383
m00058,f,India,RHESUS MACAQUE,864656,Whole Genome: Deep Coverage,SRR5435011,358603179
m00058,f,India,RHESUS MACAQUE,864657,GBS,SRR5428087,6498408
m00059,f,India,RHESUS MACAQUE,864658,GBS,SRR5428086,6046290
m00059,f,India,RHESUS MACAQUE,864659,Whole Genome: Deep Coverage,SRR5435010,343409207
m00060,m,India,RHESUS MACAQUE,864660,Whole Genome: Deep Coverage,SRR5435009,322085479
m00060,m,India,RHESUS MACAQUE,864661,GBS,SRR5428085,7104746
m00061,m,India,RHESUS MACAQUE,864662,GBS,SRR5428084,6949288
m00061,m,India,RHESUS MACAQUE,864663,Whole Genome: Deep Coverage,SRR5435008,394166230
m00061,m,India,RHESUS MACAQUE,864664,GBS,SRR6166554,8012981
m00061,m,India,RHESUS MACAQUE,864665,Whole Genome: Deep Coverage,SRR7865749,312293613
m00062,m,India,RHESUS MACAQUE,864666,GBS,SRR5428083,4063384
m00063,m,India,RHESUS MACAQUE,864667,GBS,SRR5428082,5219592
m00064,m,India,RHESUS MACAQUE,864668,GBS,SRR5428081,7095447
m00065,f,India,RHESUS MACAQUE,864669,GBS,SRR5428080,6563993
m00066,m,India,RHESUS MACAQUE,864670,GBS,SRR5428079,3115262
m00066,m,India,RHESUS MACAQUE,864671,GBS,SRR7808813,8308517
m00067,m,India,RHESUS MACAQUE,864672,GBS,SRR5428078,4231566
m00068,m,India,RHESUS MACAQUE,864673,GBS,SRR5428077,4031750
m00069,f,India,RHESUS MACAQUE,864674,GBS,SRR5428076,4859032
m00070,f,India,RHESUS MACAQUE,864675,GBS,SRR5428075,4129783
m00071,f,India,RHESUS MACAQUE,864676,GBS,SRR5428074,5378530
m00071,f,India,RHESUS MACAQUE,864677,Whole Genome: Deep Coverage,SRR7865705,298312892
m00072,m,India,RHESUS MACAQUE,864678,GBS,SRR5428073,4777198
m00073,f,India,RHESUS MACAQUE,864679,GBS,SRR5428072,6737903
m00073,f,India,RHESUS MACAQUE,864680,Whole Genome: Deep Coverage,SRR7865748,380665295
m00074,f,India,RHESUS MACAQUE,864681,GBS,SRR5428071,3720052
m00074,f,India,RHESUS MACAQUE,864682,GBS,SRR7808830,9353373
m00075,m,,RHESUS MACAQUE,864683,GBS,SRR5428070,7707485
m00075,m,,RHESUS MACAQUE,864684,GBS,SRR7808822,7320123
m00076,f,India,RHESUS MACAQUE,864685,GBS,SRR5428069,6474810
m00077,m,India,RHESUS MACAQUE,864686,GBS,SRR5428068,4482192
m00078,m,India,RHESUS MACAQUE,864687,GBS,SRR5428067,5249669
m00079,f,India,RHESUS MACAQUE,864688,GBS,SRR5428066,4712704
m00080,f,India,RHESUS MACAQUE,864689,GBS,SRR5428065,5776764
m00081,m,India,RHESUS MACAQUE,864690,GBS,SRR5428064,4054133
m00082,m,India,RHESUS MACAQUE,864691,GBS,SRR5428063,3851846
m00082,m,India,RHESUS MACAQUE,864692,GBS,SRR7808831,11012889
m00082,m,India,RHESUS MACAQUE,864693,Whole Genome: Deep Coverage,SRR7865698,278494184
m00083,m,India,RHESUS MACAQUE,864694,GBS,SRR5428062,4589898
m00084,f,India,RHESUS MACAQUE,864695,GBS,SRR5428061,5278137
m00084,f,India,RHESUS MACAQUE,864696,Whole Genome: Deep Coverage,SRR7865699,303511184
m00085,f,India,RHESUS MACAQUE,864697,GBS,SRR5428060,5236968
m00086,m,India,RHESUS MACAQUE,864698,GBS,SRR5428059,4616262
m00087,m,India,RHESUS MACAQUE,864699,GBS,SRR5428058,5554939
m00087,m,India,RHESUS MACAQUE,864700,Whole Exome,SRR1975662,65186290
m00088,m,,RHESUS MACAQUE,864701,GBS,SRR5428057,4999187
m00089,f,India,RHESUS MACAQUE,864702,GBS,SRR5428056,5241950
m00090,f,India,RHESUS MACAQUE,864703,GBS,SRR5428055,7229975
m00091,f,India,RHESUS MACAQUE,864704,GBS,SRR5428054,5620311
m00092,f,India,RHESUS MACAQUE,864705,GBS,SRR5428053,8731568
m00093,f,India,RHESUS MACAQUE,864706,GBS,SRR5428052,4674527
m00094,m,India,RHESUS MACAQUE,864707,GBS,SRR5428051,4226904
m00095,f,India,RHESUS MACAQUE,864708,GBS,SRR5428050,5961988
m00096,f,India,RHESUS MACAQUE,864709,GBS,SRR5428049,5236273
m00097,f,India,RHESUS MACAQUE,864710,GBS,SRR5428048,4983858
m00098,f,India,RHESUS MACAQUE,864711,GBS,SRR5428047,4348578
m00099,f,India,RHESUS MACAQUE,864712,GBS,SRR5428046,3771887
m00099,f,India,RHESUS MACAQUE,864713,GBS,SRR7808827,11046600
m00099,f,India,RHESUS MACAQUE,864714,Whole Genome: Deep Coverage,SRR7865681,289702127
m00100,f,India,RHESUS MACAQUE,864715,GBS,SRR5428045,7275058
m00101,m,India,RHESUS MACAQUE,864716,GBS,SRR5428044,8178987
m00101,m,India,RHESUS MACAQUE,864717,Whole Genome: Deep Coverage,SRR7865751,293328262
m00102,f,India,RHESUS MACAQUE,864718,GBS,SRR5428043,4543987
m00103,f,India,RHESUS MACAQUE,864719,GBS,SRR5428042,4579561
m00104,f,India,RHESUS MACAQUE,864720,GBS,SRR5428041,6919334
m00105,f,India,RHESUS MACAQUE,864721,GBS,SRR5428040,4784020
m00106,f,Hybrid (China / India),RHESUS MACAQUE,864722,GBS,SRR5428039,6688206
m00107,f,India,RHESUS MACAQUE,864723,GBS,SRR5428038,15335548
m00108,m,India,RHESUS MACAQUE,864724,GBS,SRR5428037,7248291
m00109,f,India,RHESUS MACAQUE,864725,GBS,SRR5428036,3789222
m00109,f,India,RHESUS MACAQUE,864726,GBS,SRR7808833,11329458
m00110,m,India,RHESUS MACAQUE,864727,GBS,SRR5428035,6802393
m00111,f,India,RHESUS MACAQUE,864728,GBS,SRR5428034,5855336
m00112,f,India,RHESUS MACAQUE,864729,GBS,SRR5428033,4194368
m00113,f,India,RHESUS MACAQUE,864730,GBS,SRR5428032,6994424
m00114,f,India,RHESUS MACAQUE,864731,GBS,SRR5428031,7043361
m00115,f,India,RHESUS MACAQUE,864732,GBS,SRR5428030,3396659
m00115,f,India,RHESUS MACAQUE,864733,GBS,SRR7808861,8095527
m00116,f,India,RHESUS MACAQUE,864734,GBS,SRR7808834,7718549
m00116,f,India,RHESUS MACAQUE,864735,GBS,SRR5428029,3344675
m00116,f,India,RHESUS MACAQUE,864736,Whole Genome: Deep Coverage,SRR7865680,296445252
m00117,f,India,RHESUS MACAQUE,864737,Whole Genome: Deep Coverage,SRR7865750,278234462
m00117,f,India,RHESUS MACAQUE,864738,GBS,SRR5428028,4386789
m00118,f,India,RHESUS MACAQUE,864739,GBS,SRR5428027,3202449
m00118,f,India,RHESUS MACAQUE,864740,GBS,SRR7808858,8080217
m00119,m,India,RHESUS MACAQUE,864741,GBS,SRR5428026,3802218
m00119,m,India,RHESUS MACAQUE,864742,Whole Genome: Deep Coverage,SRR7865683,375725517
m00120,f,India,RHESUS MACAQUE,864743,GBS,SRR5428025,4170356
m00121,f,India,RHESUS MACAQUE,864744,GBS,SRR5428024,3906280
m00121,f,India,RHESUS MACAQUE,864745,GBS,SRR7808842,10922128
m00122,m,India,RHESUS MACAQUE,864746,GBS,SRR5428023,4040303
m00123,m,India,RHESUS MACAQUE,864747,GBS,SRR5428022,3134355
m00123,m,India,RHESUS MACAQUE,864748,GBS,SRR7808866,9465375
m00123,m,India,RHESUS MACAQUE,864749,Whole Genome: Deep Coverage,SRR7865682,278929974
m00124,,,,864750,GBS,SRR5428021,4225928
m00125,f,India,RHESUS MACAQUE,864751,GBS,SRR5428020,4027725
m00126,m,India,RHESUS MACAQUE,864752,GBS,SRR5428019,4766082
m00127,m,India,RHESUS MACAQUE,864753,GBS,SRR5428018,7541506
m00128,m,India,RHESUS MACAQUE,864754,GBS,SRR5428017,4548361
m00129,m,India,RHESUS MACAQUE,864755,GBS,SRR5428016,5850709
m00130,f,India,RHESUS MACAQUE,864756,GBS,SRR5428015,3281956
m00130,f,India,RHESUS MACAQUE,864757,GBS,SRR7808824,11061716
m00131,,,,864758,GBS,SRR5428014,4621459
m00132,f,India,RHESUS MACAQUE,864759,Whole Genome: Deep Coverage,SRR5794849,328274866
m00132,f,India,RHESUS MACAQUE,864760,GBS,SRR7808823,6388200
m00133,f,India,RHESUS MACAQUE,864761,Whole Genome: Deep Coverage,SRR5794848,306540126
m00133,f,India,RHESUS MACAQUE,864762,GBS,SRR7808805,6235674
m00134,f,India,RHESUS MACAQUE,864763,GBS,SRR5794802,8485560
m00134,f,India,RHESUS MACAQUE,864764,Whole Genome: Deep Coverage,SRR5794874,302991105
m00135,m,India,RHESUS MACAQUE,864765,Whole Genome: Deep Coverage,SRR5794806,324405329
m00135,m,India,RHESUS MACAQUE,864766,GBS,SRR7808844,6292484
m00136,f,India,RHESUS MACAQUE,864767,GBS,SRR5794812,1289496
m00136,f,India,RHESUS MACAQUE,864768,Whole Genome: Deep Coverage,SRR5795103,291818418
m00136,f,India,RHESUS MACAQUE,864769,GBS,SRR7808836,4718975
m00137,f,India,RHESUS MACAQUE,864770,Whole Genome: Deep Coverage,SRR5794961,288321095
m00137,f,India,RHESUS MACAQUE,864771,GBS,SRR7808807,6297035
m00138,m,India,RHESUS MACAQUE,864772,GBS,SRR7808852,6127554
m00138,m,India,RHESUS MACAQUE,864773,Whole Genome: Deep Coverage,SRR5795097,278007866
m00139,f,India,RHESUS MACAQUE,864774,Whole Genome: Deep Coverage,SRR5795099,332994579
m00139,f,India,RHESUS MACAQUE,864775,GBS,SRR7808845,6444984
m00140,m,India,RHESUS MACAQUE,864776,GBS,SRR5794869,5595657
m00140,m,India,RHESUS MACAQUE,864777,Whole Genome: Deep Coverage,SRR5794971,396955350
m00141,f,India,RHESUS MACAQUE,864778,Whole Genome: Deep Coverage,SRR5794987,364205086
m00141,f,India,RHESUS MACAQUE,864779,GBS,SRR7808804,5011559
m00142,f,India,RHESUS MACAQUE,864780,GBS,SRR7808809,7504897
m00142,f,India,RHESUS MACAQUE,864781,Whole Genome: Deep Coverage,SRR5794833,351163035
m00143,f,India,RHESUS MACAQUE,864782,Whole Genome: Deep Coverage,SRR5794807,391924999
m00143,f,India,RHESUS MACAQUE,864783,GBS,SRR7808851,6566800
m00144,f,India,RHESUS MACAQUE,864784,GBS,SRR5794910,10541709
m00144,f,India,RHESUS MACAQUE,864785,Whole Genome: Deep Coverage,SRR5794875,317076171
m00145,m,India,RHESUS MACAQUE,864786,Whole Genome: Deep Coverage,SRR5794911,325928215
m00145,m,India,RHESUS MACAQUE,864787,GBS,SRR7808846,6014740
m00146,f,India,RHESUS MACAQUE,864788,GBS,SRR7808810,5124059
m00146,f,India,RHESUS MACAQUE,864789,Whole Genome: Deep Coverage,SRR5794912,308015312
m00147,f,India,RHESUS MACAQUE,864790,Whole Genome: Deep Coverage,SRR5794913,284252883
m00147,f,India,RHESUS MACAQUE,864791,GBS,SRR7808849,6713149
m00148,f,India,RHESUS MACAQUE,864792,GBS,SRR7808848,6055643
m00148,f,India,RHESUS MACAQUE,864793,Whole Genome: Deep Coverage,SRR5794906,322642604
m00149,f,India,RHESUS MACAQUE,864794,GBS,SRR7808841,3948748
m00149,f,India,RHESUS MACAQUE,864795,Whole Genome: Deep Coverage,SRR5794842,291406851
m00149,f,India,RHESUS MACAQUE,864796,GBS,SRR5794907,525635
m00150,f,India,RHESUS MACAQUE,864797,GBS,SRR5794808,6499423
m00150,f,India,RHESUS MACAQUE,864798,Whole Genome: Deep Coverage,SRR5794958,297365135
m00151,f,India,RHESUS MACAQUE,864799,Whole Genome: Deep Coverage,SRR5795074,311848700
m00151,f,India,RHESUS MACAQUE,864800,GBS,SRR7808850,5183753
m00152,f,India,RHESUS MACAQUE,864801,GBS,SRR5794933,4342510
m00152,f,India,RHESUS MACAQUE,864802,Whole Genome: Deep Coverage,SRR5794843,330839255
m00153,f,India,RHESUS MACAQUE,864803,Whole Genome: Deep Coverage,SRR5794851,354951786
m00153,f,India,RHESUS MACAQUE,864804,GBS,SRR7808847,5186736
m00154,f,India,RHESUS MACAQUE,864805,GBS,SRR7808864,5857552
m00154,f,India,RHESUS MACAQUE,864806,Whole Genome: Deep Coverage,SRR5794950,351143406
m00155,m,India,RHESUS MACAQUE,864807,GBS,SRR5795096,6075676
m00156,m,India,RHESUS MACAQUE,864808,GBS,SRR5795095,7550467
m00157,f,India,RHESUS MACAQUE,864809,GBS,SRR5795090,6681
m00158,f,India,RHESUS MACAQUE,864810,GBS,SRR5795089,9085814
m00159,m,India,RHESUS MACAQUE,864811,GBS,SRR5795092,3997114
m00159,m,India,RHESUS MACAQUE,864812,GBS,SRR7808857,6053823
m00160,f,India,RHESUS MACAQUE,864813,GBS,SRR7808832,3712930
m00160,f,India,RHESUS MACAQUE,864814,Whole Genome: Deep Coverage,SRR7865728,367570677
m00160,f,India,RHESUS MACAQUE,864815,GBS,SRR5795086,317433
m00161,m,India,RHESUS MACAQUE,864816,GBS,SRR5795085,10160962
m00162,m,India,RHESUS MACAQUE,864817,GBS,SRR5794828,6354984
m00162,m,India,RHESUS MACAQUE,864818,Whole Exome,SRR1975666,66968536
m00163,m,India,RHESUS MACAQUE,864819,GBS,SRR5794827,6632633
m00164,f,India,RHESUS MACAQUE,864820,GBS,SRR5794830,6240336
m00165,m,India,RHESUS MACAQUE,864821,GBS,SRR5794829,5014904
m00166,m,India,RHESUS MACAQUE,864822,GBS,SRR5794824,5751982
m00167,m,India,RHESUS MACAQUE,864823,GBS,SRR5794823,5870344
m00168,f,India,RHESUS MACAQUE,864824,GBS,SRR5794826,7746860
m00169,f,India,RHESUS MACAQUE,864825,GBS,SRR5794825,8354641
m00170,f,India,RHESUS MACAQUE,864826,GBS,SRR5794822,6196402
m00171,f,India,RHESUS MACAQUE,864827,GBS,SRR5794821,9998890
m00172,f,India,RHESUS MACAQUE,864828,GBS,SRR5795018,7052623
m00173,f,India,RHESUS MACAQUE,864829,GBS,SRR5795021,6643476
m00174,f,India,RHESUS MACAQUE,864830,GBS,SRR5795000,7380633
m00175,m,India,RHESUS MACAQUE,864831,GBS,SRR5795012,6781864
m00176,m,India,RHESUS MACAQUE,864832,GBS,SRR5795003,8461604
m00177,m,India,RHESUS MACAQUE,864833,GBS,SRR5795006,8128490
m00178,f,India,RHESUS MACAQUE,864834,GBS,SRR5795001,6138514
m00179,m,India,RHESUS MACAQUE,864835,GBS,SRR5795002,8756622
m00180,f,India,RHESUS MACAQUE,864836,GBS,SRR5795087,6777131
m00181,m,India,RHESUS MACAQUE,864837,GBS,SRR5795088,5899083
m00182,m,India,RHESUS MACAQUE,864838,GBS,SRR5795054,6655521
m00183,f,India,RHESUS MACAQUE,864839,GBS,SRR5795053,4039707
m00184,f,India,RHESUS MACAQUE,864840,GBS,SRR5795052,8990891
m00185,f,India,RHESUS MACAQUE,864841,GBS,SRR5795051,6201782
m00186,f,India,RHESUS MACAQUE,864842,GBS,SRR5795058,7090254
m00187,f,India,RHESUS MACAQUE,864843,GBS,SRR5795057,7818610
m00188,f,India,RHESUS MACAQUE,864844,GBS,SRR5795056,7024857
m00189,f,India,RHESUS MACAQUE,864845,GBS,SRR5795055,5156181
m00190,f,India,RHESUS MACAQUE,864846,GBS,SRR5795061,7540779
m00191,m,India,RHESUS MACAQUE,864847,GBS,SRR5795060,272129
m00191,m,India,RHESUS MACAQUE,864848,GBS,SRR7808814,6751773
m00192,f,India,RHESUS MACAQUE,864849,GBS,SRR5795014,5849264
m00193,m,India,RHESUS MACAQUE,864850,GBS,SRR5795015,5970279
m00194,f,India,RHESUS MACAQUE,864851,GBS,SRR5795016,5568209
m00195,m,India,RHESUS MACAQUE,864852,GBS,SRR5795017,5403056
m00196,f,India,RHESUS MACAQUE,864853,GBS,SRR5795010,7595717
m00197,m,India,RHESUS MACAQUE,864854,GBS,SRR5795011,4855097
m00198,f,India,RHESUS MACAQUE,864855,GBS,SRR5794884,6671202
m00199,f,India,RHESUS MACAQUE,864856,GBS,SRR5795013,3842137
m00199,f,India,RHESUS MACAQUE,864857,GBS,SRR7808840,3851679
m00200,f,India,RHESUS MACAQUE,864858,GBS,SRR5795019,8223609
m00201,f,India,RHESUS MACAQUE,864859,GBS,SRR5795020,5837643
m00202,f,India,RHESUS MACAQUE,864860,GBS,SRR5794974,8194100
m00203,f,India,RHESUS MACAQUE,864861,GBS,SRR5794973,7390041
m00204,f,India,RHESUS MACAQUE,864862,GBS,SRR5794976,9347672
m00205,f,India,RHESUS MACAQUE,864863,GBS,SRR5794975,7731259
m00206,f,India,RHESUS MACAQUE,864864,GBS,SRR5794978,7218310
m00207,f,India,RHESUS MACAQUE,864865,GBS,SRR5794977,5118168
m00208,f,India,RHESUS MACAQUE,864866,GBS,SRR5794980,6511459
m00209,f,India,RHESUS MACAQUE,864867,GBS,SRR5794979,8065354
m00210,m,India,RHESUS MACAQUE,864868,GBS,SRR5794982,6733202
m00211,m,India,RHESUS MACAQUE,864869,GBS,SRR5794981,5906909
m00212,m,India,RHESUS MACAQUE,864870,GBS,SRR5794939,5570227
m00213,m,India,RHESUS MACAQUE,864871,GBS,SRR5794940,6506197
m00213,m,India,RHESUS MACAQUE,864872,Whole Genome: Deep Coverage,SRR7865731,410986757
m00214,f,India,RHESUS MACAQUE,864873,GBS,SRR5794937,7448012
m00215,m,India,RHESUS MACAQUE,864874,GBS,SRR5794938,4777984
m00216,m,India,RHESUS MACAQUE,864875,GBS,SRR5794943,6227492
m00217,f,India,RHESUS MACAQUE,864876,GBS,SRR5794944,7644725
m00218,f,India,RHESUS MACAQUE,864877,GBS,SRR5794941,9837164
m00219,f,India,RHESUS MACAQUE,864878,GBS,SRR5794942,7957790
m00220,f,India,RHESUS MACAQUE,864879,GBS,SRR5794946,7754476
m00221,f,India,RHESUS MACAQUE,864880,GBS,SRR5794947,7442192
m00222,m,India,RHESUS MACAQUE,864881,GBS,SRR5794902,9679239
m00223,f,India,RHESUS MACAQUE,864882,GBS,SRR5794901,7559061
m00224,f,India,RHESUS MACAQUE,864883,GBS,SRR5794900,11082923
m00225,m,India,RHESUS MACAQUE,864884,GBS,SRR5794899,10616618
m00226,f,India,RHESUS MACAQUE,864885,GBS,SRR5794898,9173059
m00227,f,India,RHESUS MACAQUE,864886,GBS,SRR5794897,8221977
m00228,f,India,RHESUS MACAQUE,864887,GBS,SRR5794896,5740937
m00229,f,India,RHESUS MACAQUE,864888,GBS,SRR5794895,8125490
m00230,f,India,RHESUS MACAQUE,864889,GBS,SRR5794905,9195633
m00231,m,INDIA,RHESUS MACAQUE,864890,GBS,SRR5794904,7280444
m00232,f,India,RHESUS MACAQUE,864891,GBS,SRR5794858,10542565
m00233,f,India,RHESUS MACAQUE,864892,GBS,SRR5794859,9424109
