mgap_id,gender,geographic_origin,species,sequence_type,sra_accession,total_reads
m00027,m,India,RHESUS MACAQUE,GBS,SRR5795091,3835605
m00028,m,India,RHESUS MACAQUE,GBS,SRR5794879,8232365
m00028,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1929347,954728621
m00029,m,,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1929352,536510141
m00029,m,,RHESUS MACAQUE,GBS,SRR5794917,67725
m00029,m,,RHESUS MACAQUE,GBS,SRR7808871,4121067
m00030,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1944114,635375537
m00031,m,INDIA,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1929341,579341232
m00031,m,INDIA,RHESUS MACAQUE,GBS,SRR5794857,8987972
m00032,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR1929355,619474427
m00032,m,India,RHESUS MACAQUE,Whole Exome,SRR1975664,65344289
m00032,m,India,RHESUS MACAQUE,GBS,SRR5428108,7214996
m00033,m,INDIA,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR8474135,547924953
m00034,m,INDIA,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR8474134,530486532
m00035,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5626565,530391889
m00036,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5626564,735313000
m00036,m,India,RHESUS MACAQUE,GBS,SRR7808872,6185215
m00037,m,India,RHESUS MACAQUE,GBS,SRR7808873,6150538
m00037,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5626559,567542724
m00038,f,India,RHESUS MACAQUE,GBS,SRR5428107,8040114
m00038,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435050,280812163
m00039,f,India,RHESUS MACAQUE,GBS,SRR5428106,4518014
m00039,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435049,340366331
m00040,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435046,349748281
m00040,f,India,RHESUS MACAQUE,GBS,SRR5428105,5231439
m00041,f,India,RHESUS MACAQUE,GBS,SRR5428104,7768498
m00041,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435045,359476212
m00042,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435044,397642947
m00042,m,India,RHESUS MACAQUE,GBS,SRR5428103,6414845
m00043,m,India,RHESUS MACAQUE,GBS,SRR5428102,5430968
m00043,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435042,354303001
m00044,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435040,327914428
m00044,f,India,RHESUS MACAQUE,GBS,SRR5428101,7731019
m00045,m,India,RHESUS MACAQUE,GBS,SRR5428100,3836289
m00045,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435039,355152454
m00046,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435038,389052178
m00046,m,India,RHESUS MACAQUE,GBS,SRR5428099,5521827
m00047,f,India,RHESUS MACAQUE,GBS,SRR5428098,4824537
m00047,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435037,353654882
m00047,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865755,306320624
m00048,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435036,305050913
m00048,f,India,RHESUS MACAQUE,GBS,SRR5428097,5261814
m00049,f,India,RHESUS MACAQUE,GBS,SRR5428096,7133399
m00049,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435034,313470770
m00050,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435032,322402597
m00050,f,India,RHESUS MACAQUE,GBS,SRR5428095,6052809
m00050,f,India,RHESUS MACAQUE,GBS,SRR6166553,7759272
m00050,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865754,296199823
m00051,m,,RHESUS MACAQUE,GBS,SRR5428094,6132931
m00051,m,,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435028,337320675
m00052,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435025,347182301
m00052,m,India,RHESUS MACAQUE,GBS,SRR5428093,7543231
m00053,f,India,RHESUS MACAQUE,GBS,SRR5428092,5396144
m00053,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435023,324584357
m00054,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435020,353465169
m00054,f,India,RHESUS MACAQUE,GBS,SRR5428091,6851338
m00055,m,India,RHESUS MACAQUE,GBS,SRR5428090,4826206
m00055,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435018,325437954
m00056,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435015,313861151
m00056,m,India,RHESUS MACAQUE,GBS,SRR5428089,4192932
m00057,f,India,RHESUS MACAQUE,GBS,SRR5428088,5456874
m00057,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435013,514994383
m00058,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435011,358603179
m00058,f,India,RHESUS MACAQUE,GBS,SRR5428087,6498408
m00059,f,India,RHESUS MACAQUE,GBS,SRR5428086,6046290
m00059,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435010,343409207
m00060,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435009,322085479
m00060,m,India,RHESUS MACAQUE,GBS,SRR5428085,7104746
m00061,m,India,RHESUS MACAQUE,GBS,SRR5428084,6949288
m00061,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5435008,394166230
m00061,m,India,RHESUS MACAQUE,GBS,SRR6166554,8012981
m00061,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865749,312293613
m00071,f,India,RHESUS MACAQUE,GBS,SRR5428074,5378530
m00071,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865705,298312892
m00073,f,India,RHESUS MACAQUE,GBS,SRR5428072,6737903
m00073,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865748,380665295
m00082,m,India,RHESUS MACAQUE,GBS,SRR5428063,3851846
m00082,m,India,RHESUS MACAQUE,GBS,SRR7808831,11012889
m00082,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865698,278494184
m00084,f,India,RHESUS MACAQUE,GBS,SRR5428061,5278137
m00084,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865699,303511184
m00087,m,India,RHESUS MACAQUE,GBS,SRR5428058,5554939
m00087,m,India,RHESUS MACAQUE,Whole Exome,SRR1975662,65186290
m00099,f,India,RHESUS MACAQUE,GBS,SRR5428046,3771887
m00099,f,India,RHESUS MACAQUE,GBS,SRR7808827,11046600
m00099,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865681,289702127
m00101,m,India,RHESUS MACAQUE,GBS,SRR5428044,8178987
m00101,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865751,293328262
m00116,f,India,RHESUS MACAQUE,GBS,SRR7808834,7718549
m00116,f,India,RHESUS MACAQUE,GBS,SRR5428029,3344675
m00116,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865680,296445252
m00117,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865750,278234462
m00117,f,India,RHESUS MACAQUE,GBS,SRR5428028,4386789
m00119,m,India,RHESUS MACAQUE,GBS,SRR5428026,3802218
m00119,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865683,375725517
m00123,m,India,RHESUS MACAQUE,GBS,SRR5428022,3134355
m00123,m,India,RHESUS MACAQUE,GBS,SRR7808866,9465375
m00123,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865682,278929974
m00132,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794849,328274866
m00132,f,India,RHESUS MACAQUE,GBS,SRR7808823,6388200
m00133,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794848,306540126
m00133,f,India,RHESUS MACAQUE,GBS,SRR7808805,6235674
m00134,f,India,RHESUS MACAQUE,GBS,SRR5794802,8485560
m00134,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794874,302991105
m00135,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794806,324405329
m00135,m,India,RHESUS MACAQUE,GBS,SRR7808844,6292484
m00136,f,India,RHESUS MACAQUE,GBS,SRR5794812,1289496
m00136,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5795103,291818418
m00136,f,India,RHESUS MACAQUE,GBS,SRR7808836,4718975
m00137,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794961,288321095
m00137,f,India,RHESUS MACAQUE,GBS,SRR7808807,6297035
m00138,m,India,RHESUS MACAQUE,GBS,SRR7808852,6127554
m00138,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5795097,278007866
m00139,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5795099,332994579
m00139,f,India,RHESUS MACAQUE,GBS,SRR7808845,6444984
m00140,m,India,RHESUS MACAQUE,GBS,SRR5794869,5595657
m00140,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794971,396955350
m00141,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794987,364205086
m00141,f,India,RHESUS MACAQUE,GBS,SRR7808804,5011559
m00142,f,India,RHESUS MACAQUE,GBS,SRR7808809,7504897
m00142,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794833,351163035
m00143,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794807,391924999
m00143,f,India,RHESUS MACAQUE,GBS,SRR7808851,6566800
m00144,f,India,RHESUS MACAQUE,GBS,SRR5794910,10541709
m00144,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794875,317076171
m00145,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794911,325928215
m00145,m,India,RHESUS MACAQUE,GBS,SRR7808846,6014740
m00146,f,India,RHESUS MACAQUE,GBS,SRR7808810,5124059
m00146,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794912,308015312
m00147,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794913,284252883
m00147,f,India,RHESUS MACAQUE,GBS,SRR7808849,6713149
m00148,f,India,RHESUS MACAQUE,GBS,SRR7808848,6055643
m00148,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794906,322642604
m00149,f,India,RHESUS MACAQUE,GBS,SRR7808841,3948748
m00149,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794842,291406851
m00149,f,India,RHESUS MACAQUE,GBS,SRR5794907,525635
m00150,f,India,RHESUS MACAQUE,GBS,SRR5794808,6499423
m00150,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794958,297365135
m00151,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5795074,311848700
m00151,f,India,RHESUS MACAQUE,GBS,SRR7808850,5183753
m00152,f,India,RHESUS MACAQUE,GBS,SRR5794933,4342510
m00152,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794843,330839255
m00153,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794851,354951786
m00153,f,India,RHESUS MACAQUE,GBS,SRR7808847,5186736
m00154,f,India,RHESUS MACAQUE,GBS,SRR7808864,5857552
m00154,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR5794950,351143406
m00160,f,India,RHESUS MACAQUE,GBS,SRR7808832,3712930
m00160,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865728,367570677
m00160,f,India,RHESUS MACAQUE,GBS,SRR5795086,317433
m00162,m,India,RHESUS MACAQUE,GBS,SRR5794828,6354984
m00162,m,India,RHESUS MACAQUE,Whole Exome,SRR1975666,66968536
m00213,m,India,RHESUS MACAQUE,GBS,SRR5794940,6506197
m00213,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865731,410986757
m00236,f,India,RHESUS MACAQUE,GBS,SRR5794862,8333279
m00236,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865685,290568210
m00246,f,India,RHESUS MACAQUE,GBS,SRR5795008,9176107
m00246,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865747,300332876
m00262,f,India,RHESUS MACAQUE,GBS,SRR5795078,136825
m00262,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865775,304757235
m00262,f,India,RHESUS MACAQUE,GBS,SRR7808862,3887413
m00277,f,India,RHESUS MACAQUE,GBS,SRR5794999,7551715
m00277,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865774,362715633
m00292,m,India,RHESUS MACAQUE,GBS,SRR5795026,9253131
m00292,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865773,314042420
m00293,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865772,355199186
m00293,m,India,RHESUS MACAQUE,GBS,SRR5795025,7939460
m00295,m,India,RHESUS MACAQUE,GBS,SRR5794914,97244
m00295,m,India,RHESUS MACAQUE,GBS,SRR7808843,4614301
m00295,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865730,377509707
m00296,f,India,RHESUS MACAQUE,GBS,SRR5794915,9850818
m00296,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865771,321512835
m00297,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865684,285705432
m00297,f,India,RHESUS MACAQUE,GBS,SRR5794920,11115634
m00300,f,India,RHESUS MACAQUE,GBS,SRR5794919,11022290
m00300,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865770,334667405
m00302,f,India,RHESUS MACAQUE,GBS,SRR5794909,9564139
m00302,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865769,324787037
m00308,f,India,RHESUS MACAQUE,GBS,SRR5794955,5524291
m00308,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865768,304385813
m00309,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865767,301878861
m00309,f,India,RHESUS MACAQUE,GBS,SRR5794957,7908499
m00310,f,India,RHESUS MACAQUE,GBS,SRR5794949,7567895
m00310,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865766,313132879
m00311,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865761,376728771
m00311,f,India,RHESUS MACAQUE,GBS,SRR5794948,7919453
m00312,m,India,RHESUS MACAQUE,GBS,SRR5794836,362818
m00312,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865760,333513811
m00313,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865687,287165032
m00313,f,India,RHESUS MACAQUE,GBS,SRR5794837,1614657
m00314,m,India,RHESUS MACAQUE,GBS,SRR5794838,996696
m00314,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865763,345131193
m00314,m,India,RHESUS MACAQUE,GBS,SRR7808860,3829089
m00315,f,India,RHESUS MACAQUE,GBS,SRR7808782,14122096
m00315,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865762,310749475
m00315,f,India,RHESUS MACAQUE,GBS,SRR5794839,620453
m00316,f,India,RHESUS MACAQUE,GBS,SRR5794840,30612
m00316,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865757,320601033
m00316,f,India,RHESUS MACAQUE,GBS,SRR7808865,4241439
m00317,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865756,297508969
m00317,f,India,RHESUS MACAQUE,GBS,SRR5794841,28306
m00318,f,India,RHESUS MACAQUE,GBS,SRR5794844,9233877
m00318,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865759,313452850
m00319,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865758,326414838
m00319,m,India,RHESUS MACAQUE,GBS,SRR5794845,10439318
m00320,f,India,RHESUS MACAQUE,GBS,SRR5794877,10424456
m00320,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865765,342803716
m00321,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865764,332204180
m00321,f,India,RHESUS MACAQUE,GBS,SRR5794876,6372099
m00322,m,India,RHESUS MACAQUE,GBS,SRR5794873,7516774
m00322,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865738,326161354
m00323,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865739,348128471
m00323,f,India,RHESUS MACAQUE,GBS,SRR5794872,12119430
m00324,f,India,RHESUS MACAQUE,GBS,SRR5794871,6284294
m00324,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865740,331503730
m00325,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865741,328973080
m00325,f,India,RHESUS MACAQUE,GBS,SRR5794870,10380437
m00326,f,India,RHESUS MACAQUE,GBS,SRR5794868,10674306
m00326,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865742,335756960
m00327,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865743,327344580
m00327,f,India,RHESUS MACAQUE,GBS,SRR5795049,13869384
m00328,m,India,RHESUS MACAQUE,GBS,SRR5795050,10339479
m00328,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865744,366286261
m00329,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865686,313810511
m00329,f,India,RHESUS MACAQUE,GBS,SRR5795093,13849467
m00330,f,India,RHESUS MACAQUE,GBS,SRR5795098,14038445
m00330,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865745,324095887
m00331,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865736,308380308
m00331,f,India,RHESUS MACAQUE,GBS,SRR5795045,7440708
m00332,m,India,RHESUS MACAQUE,GBS,SRR5795046,8958191
m00332,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865737,319521214
m00333,m,India,RHESUS MACAQUE,GBS,SRR5795043,10921365
m00333,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865746,289100680
m00334,f,India,RHESUS MACAQUE,GBS,SRR5795044,4119973
m00334,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865727,313287985
m00335,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865726,342889876
m00335,m,India,RHESUS MACAQUE,GBS,SRR5795041,478989
m00336,m,India,RHESUS MACAQUE,GBS,SRR5795042,8836410
m00336,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865692,303117526
m00337,f,India,RHESUS MACAQUE,GBS,SRR5795094,11100228
m00337,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865725,299263742
m00338,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865724,313449189
m00338,f,India,RHESUS MACAQUE,GBS,SRR5795009,7734490
m00345,m,India,RHESUS MACAQUE,GBS,SRR5795084,7963813
m00345,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865723,289435966
m00356,f,India,RHESUS MACAQUE,GBS,SRR5794811,8952309
m00356,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865679,373009117
m00357,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865678,311734344
m00357,f,India,RHESUS MACAQUE,GBS,SRR5794931,6298481
m00359,f,India,RHESUS MACAQUE,GBS,SRR5794929,9021551
m00359,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865733,359406910
m00360,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865732,414988831
m00360,m,India,RHESUS MACAQUE,GBS,SRR5794930,8185863
m00365,m,India,RHESUS MACAQUE,GBS,SRR5794935,5350044
m00365,m,India,RHESUS MACAQUE,Whole Exome,SRR1975665,60224277
m00366,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865722,277609602
m00366,m,India,RHESUS MACAQUE,GBS,SRR5794936,5012398
m00368,f,India,RHESUS MACAQUE,GBS,SRR5794888,6342743
m00368,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865721,287303964
m00369,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865674,281654282
m00369,f,India,RHESUS MACAQUE,GBS,SRR5794891,4771050
m00372,m,India,RHESUS MACAQUE,GBS,SRR5794894,3782986
m00372,m,India,RHESUS MACAQUE,GBS,SRR7808828,6910845
m00372,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865735,376372418
m00378,m,India,RHESUS MACAQUE,GBS,SRR5795080,4042019
m00378,m,India,RHESUS MACAQUE,Whole Exome,SRR1975663,58941595
m00378,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865734,367048124
m00381,f,India,RHESUS MACAQUE,GBS,SRR5795035,6489953
m00381,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865675,301305976
m00385,m,India,RHESUS MACAQUE,GBS,SRR5794881,7208285
m00385,m,India,RHESUS MACAQUE,Whole Exome,SRR1975668,67459247
m00389,m,India,RHESUS MACAQUE,GBS,SRR5794963,8585656
m00389,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865676,293973917
m00398,f,,RHESUS MACAQUE,GBS,SRR5795075,6895388
m00398,f,,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865720,320394505
m00404,f,India,RHESUS MACAQUE,GBS,SRR5795077,8318094
m00404,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865677,344033468
m00411,f,India,RHESUS MACAQUE,GBS,SRR5794882,6504415
m00411,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865670,291551314
m00412,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865671,294684267
m00412,m,India,RHESUS MACAQUE,GBS,SRR5794983,6405526
m00414,f,India,RHESUS MACAQUE,GBS,SRR5794985,6925906
m00414,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865719,299368830
m00416,f,India,RHESUS MACAQUE,GBS,SRR5794847,6260154
m00416,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865693,310907085
m00417,m,India,RHESUS MACAQUE,GBS,SRR5795083,5707345
m00417,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865672,279519713
m00424,f,India,RHESUS MACAQUE,GBS,SRR5794903,4959395
m00424,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865716,397936360
m00428,f,India,RHESUS MACAQUE,GBS,SRR5794922,4504
m00428,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR7865673,280199539
m00428,f,India,RHESUS MACAQUE,GBS,SRR7808825,5521648
m00431,m,India,RHESUS MACAQUE,GBS,SRR7808774,8569495
m00431,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206176,374599177
m00432,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206177,321449718
m00432,f,India,RHESUS MACAQUE,GBS,SRR7808777,6925111
m00433,f,India,RHESUS MACAQUE,GBS,SRR7808776,5726850
m00433,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206178,338025595
m00434,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206179,296275231
m00434,f,India,RHESUS MACAQUE,GBS,SRR7808786,9249852
m00435,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206180,330668943
m00436,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206181,308512042
m00436,f,India,RHESUS MACAQUE,GBS,SRR7808769,5126335
m00437,f,INDIA,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206182,363924362
m00438,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206183,314170920
m00438,f,India,RHESUS MACAQUE,GBS,SRR7808787,6955439
m00439,f,India,RHESUS MACAQUE,GBS,SRR7808784,8927434
m00439,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206174,348438891
m00440,m,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206175,341321452
m00440,m,India,RHESUS MACAQUE,GBS,SRR7808785,8229522
m00441,f,India,RHESUS MACAQUE,GBS,SRR7808790,6154093
m00441,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206192,308287246
m00442,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206194,321081351
m00442,f,India,RHESUS MACAQUE,GBS,SRR7808791,6509809
m00443,f,India,RHESUS MACAQUE,GBS,SRR7808788,4261445
m00443,f,India,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206193,340004999
m00444,f,INDIA,RHESUS MACAQUE,Whole Genome: Deep Coverage,SRR6206195,361394571
